SURVEY,YEAR,AREA_CODE,SPECIES_CODE,BIOMASS,VAR
AI,2006,5699,30576,3975.1,7867673.97471886
AI,1991,3499,30576,3224.6,1271055.8241582
AI,1980,299,30576,0,0
AI,2010,5699,30576,4070.9,2674556.22053
AI,2018,299,30576,11969.6,124813489.661514
AI,1991,5699,30576,1053.2,308384.897553186
AI,2006,799,30576,1180.2,378576.533437222
AI,1986,799,30576,6485.4,16999835.9975261
AI,2010,799,30576,15,224.459648680445
AI,1991,799,30576,1925.2,1614398.92675828
AI,1991,299,30576,17557.6,226488458.297295
AI,1980,799,30576,44.8,2008.85627317513
AI,1980,3499,30576,2664.5,1306514.41002688
AI,1986,299,30576,1821.4,160316.775320398
AI,1986,5699,30576,5554.4,3242815.69454889
AI,2018,5699,30576,11416.9,86895645.7857951
AI,1997,799,30576,2428.4,5571257.52751766
AI,1994,3499,30576,8164.3,4701509.01713427
AI,1994,299,30576,6493.2,5574942.5364497
AI,1994,5699,30576,11626.9,23129598.5258767
AI,1986,3499,30576,4291.4,5143546.76584301
AI,2016,3499,30576,3149.5,221409.160882369
AI,2016,5699,30576,6029.7,3330699.07123643
AI,2002,799,30576,1463.2,912348.079300336
AI,2002,3499,30576,8639.2,4399159.61666587
AI,2002,299,30576,3906.2,4560644.21907289
AI,1983,299,30576,7249.4,7063249.37369129
AI,1983,5699,30576,11786.8,16212137.1962169
AI,1980,5699,30576,4164.8,12961918.4836327
AI,2006,299,30576,2470.5,472376.725573213
AI,1997,5699,30576,7840.2,10257716.8867856
AI,1997,299,30576,6657.9,9231633.94944835
AI,2018,3499,30576,2933.1,1691803.05684525
AI,1994,799,30576,1959.1,2310808.7200682
AI,2018,799,30576,13.3,177.200023929349
AI,1983,799,30576,9477,16536883.4545328
AI,2010,299,30576,6728.5,10125350.7886019
AI,2004,5699,30576,7499.4,12099120.6587513
AI,2004,799,30576,630.3,144552.960759205
AI,2016,299,30576,5845.6,18965084.9385318
AI,2016,799,30576,74.4,5536.20609785519
AI,2004,299,30576,16332.8,134627836.684607
AI,2004,3499,30576,8779.4,2295936.31320523
AI,2002,5699,30576,2796.6,547250.81882534
AI,2006,3499,30576,5335,487759.060223908
AI,1997,3499,30576,21560.2,74896893.7299919
AI,2000,299,30576,17746.1,263865440.688842
AI,1983,3499,30576,7239.3,4530988.58579587
AI,2000,3499,30576,13543,5234944.96631169
AI,2000,799,30576,645.3,223640.238089937
AI,2010,3499,30576,7424.3,5329935.40781532
AI,2012,299,30576,4454.7,4500468.31298298
AI,2012,3499,30576,7181.9,9391755.21823761
AI,2012,799,30576,561.9,160197.599451483
AI,2012,5699,30576,4031.1,3173418.50840431
AI,2014,5699,30576,2143.8,566548.424988178
AI,2014,799,30576,28.1,396.396498353185
AI,2014,299,30576,1579.1,123504.16218808
AI,2014,3499,30576,12677.6,37575743.2839426
AI,2000,5699,30576,5862.7,5556270.19070537
