year,Model 18.b,Model 22.1,Model 22.2.a,Model 22.2.b,Model 22.2.c
1980,20247.867570233786,21093.661942259056,20690.16963427974,19893.468611319215,21091.32360854808
1981,21943.33258155269,22789.12736748594,21491.15180653483,22349.3093570305,21804.96220898519
1982,24887.459365190905,25733.25439565938,22415.756853680792,25870.720700278656,22614.473347945644
1983,32603.214573428846,33449.00428902965,23495.753385822023,31315.167121843715,23540.830529437342
1984,28433.861627088212,29279.65037520875,22937.900644312973,27209.19798935301,23074.043479168336
1985,25114.02231483928,25959.81096870334,22426.798527094168,23971.04728067704,22642.33670924129
1986,22430.727144302113,23276.51615684952,21960.429340746523,21394.282238167478,22244.370817706877
1987,20989.060052838315,21834.85036954633,21997.177194208736,20145.216501383802,22311.19457462492
1988,20126.12760225128,20971.919515065416,22107.392077067452,19365.289426488045,22438.01978131818
1989,19849.26667965131,20695.06081934075,22293.434179359123,19067.7226823008,22626.580090936102
1990,20201.54588473179,21047.34332827957,22558.18038492337,19290.169834628592,22878.940175493106
1991,21267.26215094013,22113.0645836846,22905.05794186445,20098.781755791777,23197.514758785073
1992,22711.228914966036,23557.027023964467,23960.373599643415,21911.194018525635,24168.17752854189
1993,24860.40802905848,25706.20228417551,25162.076267582615,24737.524665923847,25257.166055521415
1994,27942.12727553001,28787.917972432428,26527.05408901241,29040.86291021236,26476.350228077208
1995,29553.153210619956,30398.944616040862,27346.686145369815,31035.036890113057,27201.554932931638
1996,31504.785049573904,32350.577522130254,28265.30353413085,33684.6534259182,28008.164585471994
1997,33865.84699625052,34711.64100741148,29292.207841810046,37168.896868399956,28902.84907740356
1998,32752.49882499111,33667.711238415104,29739.506008839533,35975.22505164904,29052.36593881806
1999,31918.719398470806,32904.42291442852,30365.09047411512,35184.597249157734,29273.679124757906
2000,31318.536131594705,32294.409756984154,30170.55125475969,33613.95733868175,29090.298390205488
2001,26807.478930961897,27773.53483681816,28838.634788510582,28497.05689005665,27906.95743355895
2002,23203.630341724882,24117.75368300565,27855.389568977316,24273.79940477774,26826.266935814245
2003,23580.218985267726,24655.074869129254,28237.211622095823,25803.011686708105,26687.596599346856
2004,24328.26474215399,25373.509408028425,25761.070295143472,24372.04063793078,25096.133188999873
2005,20597.329397914717,21245.161597756844,23519.140816416893,20603.283492249928,23381.719855977535
2006,18108.667519127353,18323.611314950762,22014.800758382517,17955.799923186132,22073.554153950554
2007,18744.29827982836,18465.055026866496,21577.834643848688,19122.10414080911,21688.154463640545
2008,19844.418719798912,18971.066762740535,20703.501545489176,20456.037861471355,21168.079426692148
2009,20524.623690628196,19592.093887561437,19606.187268473674,19297.229727884867,20400.969611306693
2010,21388.774410133778,20626.559401184433,20039.497983872232,20910.077687317273,20562.096863343915
2011,20789.40457720822,19769.60186841774,20265.95282498106,21108.654785810366,20570.87868656296
2012,20466.897682637038,19125.894310706088,19884.55510077394,20877.620098518204,20265.421670655633
2013,18531.730286012287,17155.460030406288,19009.484206588884,18185.487319053376,19557.112851305657
2014,17124.099914851453,15856.077365147692,19109.502836434498,17578.503286696952,19403.449097689045
2015,17564.44709313392,16409.98498326129,19813.476855305722,17165.48592524522,19748.772452628753
2016,19279.336659069228,18217.996419818508,20493.213112586178,19026.187009155503,20271.846949020346
2017,21017.750925633158,20036.182095254473,21387.620611471448,21031.200544810115,20936.75697354547
2018,23174.21046207049,22251.379064740046,22259.07363563358,23607.17430651909,21594.504561348735
2019,23174.21046207049,22310.781831334443,22629.690458969493,23940.28066929163,21836.70309896289
2020,23174.21046207049,22294.741305336516,22088.475134669214,23254.21417029505,21576.742084881873
2021,23174.21046207049,22278.74955101768,21588.117854081236,22636.917699202924,21327.182305737813
2022,23174.21046207049,22278.74955101768,21588.117854081236,22636.917699202924,21327.182305737813
