year,Model 18,Model 18.a,Model 18.b,Model 22
1980,16479.1111,16480.000130670884,20126.684471530098,20633.544917328763
1981,18025.345999999998,18025.916055647234,21672.6941604155,22179.55029740156
1982,20725.83,20726.053024091503,24372.919701062892,24879.770749485437
1983,28086.29,28085.385187510154,31731.35862541059,32238.202267987526
1984,26154.33,26154.06433287273,29800.316180251633,30307.16572182567
1985,24355.28,24355.574340822423,28002.068867839,28508.92352952171
1986,22680.07,22680.777973333476,26327.483095392632,26834.3421771961
1987,22332.4,22333.06873873058,25979.760037949167,26486.61786832389
1988,22283.14,22283.648809048886,25930.330673369466,26437.18701888528
1989,22484.960000000003,22485.375098692144,26132.050997159087,26638.90562249544
1990,22900.899999999998,22901.213426006478,26547.886129468807,27054.73879267359
1991,23502.17,23502.254589870874,27148.926342451035,27655.776790984324
1992,24629.84,24629.720244813234,28276.391173830536,28783.23925600516
1993,25819.46,25819.103393517667,29465.774125100532,29972.619589259386
1994,27074.239999999998,27073.70656805504,30720.37776681822,31227.220340926757
1995,27880.82,27879.934619000338,31526.600653066544,32033.439615351286
1996,28712.05,28710.882311392324,32357.543379075,32864.37851379948
1997,29568.85,29567.316151221876,33213.97246912468,33720.803550607976
1998,27561.52,27560.242043038255,31206.90609618348,32568.984501243507
1999,25784.7,25783.690346081035,29430.358650745526,31823.786432110926
2000,24191.945,24191.130921585856,27837.801129586478,30151.758529265247
2001,21969.576999999997,21969.398927094775,25616.083706472724,27851.621092580037
2002,23705.52,23705.691526688664,23705.75520738625,25802.543202693465
2003,23218.271,23218.377810625916,23218.434213377346,26031.239892310317
2004,22825.656,22825.604767832763,22825.655373420417,23076.09471886269
2005,21771.957,21772.162528403296,21772.098142391547,22059.389058086592
2006,20931.946,20932.407953318376,20932.190306004657,21207.55393430012
2007,21193.224000000002,21193.52629195083,21193.429998596355,21449.501562825735
2008,21828.952,21829.009282548308,21828.96604945887,21587.285834544764
2009,21941.287500000002,21941.34596740799,21941.327821938525,20046.053626837896
2010,22119.2772,22119.26085247264,22119.254927870265,21163.380166697334
2011,22339.647,22339.58626514394,22339.548141683506,21810.82069472353
2012,22709.738,22709.62152178629,22709.471184733826,21898.837808746244
2013,22635.755999999998,22635.661985385348,22635.61480859586,20801.00028084553
2014,22681.0252,22680.91723178364,22680.902132176696,21337.14696195837
2015,22837.1187,22837.063356261187,22837.052503894898,22055.77074885523
2016,22995.0948,22995.029536593884,22995.02424428103,22756.20151470478
2017,23512.092699999997,23511.853764945332,23511.859931920182,23424.883974877575
2018,24055.3672,24054.904057697,24054.91652653508,23967.93811200172
