model_name,variable,year,pred,pred_lci,pred_uci
M22_2024,tot_biomass_pred,1991,31631.40734442486,22216.566275785335,45036.02933813708
M22_2024,tot_biomass_pred,1992,31704.915188382,22583.563569073438,44510.32026137128
M22_2024,tot_biomass_pred,1993,31778.632018343207,23116.729729326562,43686.1729484211
M22_2024,tot_biomass_pred,1994,31852.55843393401,23862.109686199034,42518.683055672125
M22_2024,tot_biomass_pred,1995,31755.38480587817,23387.14616629208,43117.89292285745
M22_2024,tot_biomass_pred,1996,31658.937769011016,23143.688544603396,43307.19965965944
M22_2024,tot_biomass_pred,1997,31563.2072522148,23099.106545743554,43128.769940664235
M22_2024,tot_biomass_pred,1998,30133.585200499965,22377.12867022315,40578.618035302
M22_2024,tot_biomass_pred,1999,28833.79964020959,21873.373646607793,38009.13453607489
M22_2024,tot_biomass_pred,2000,27631.240804729656,21516.978638167417,35482.93100289952
M22_2024,tot_biomass_pred,2001,26377.92978592054,21083.58272047494,33001.752549164485
M22_2024,tot_biomass_pred,2002,25223.504168350737,20487.996727581056,31053.556430644938
M22_2024,tot_biomass_pred,2003,24671.155088836116,19836.195284842153,30684.60885150273
M22_2024,tot_biomass_pred,2004,24141.738492261873,19409.19199553146,30028.222584584713
M22_2024,tot_biomass_pred,2005,23306.19505341807,18449.494365018316,29441.38831782177
M22_2024,tot_biomass_pred,2006,22521.876561907673,17594.094273844847,28829.840057402387
M22_2024,tot_biomass_pred,2007,22115.04089232412,17229.159810564706,28386.470323948888
M22_2024,tot_biomass_pred,2008,21893.297422300915,17136.976766206586,27969.721763673053
M22_2024,tot_biomass_pred,2009,21753.158970914497,17184.175556362014,27536.958270813717
M22_2024,tot_biomass_pred,2010,21705.484024568497,17484.48450090388,26945.49197126417
M22_2024,tot_biomass_pred,2011,21617.825003121026,17311.696278901552,26995.06451225802
M22_2024,tot_biomass_pred,2012,21565.045742596987,17302.8925848946,26877.07824565064
M22_2024,tot_biomass_pred,2013,21440.345331200046,17000.84142391702,27039.156266372527
M22_2024,tot_biomass_pred,2014,21394.183009030876,16840.278024444553,27179.543351927663
M22_2024,tot_biomass_pred,2015,21421.86464463053,16617.15702478284,27615.812029005523
M22_2024,tot_biomass_pred,2016,21442.14345393017,16486.111326075083,27888.05114834674
M22_2024,tot_biomass_pred,2017,21582.264144062392,16318.140014691542,28544.559929300623
M22_2024,tot_biomass_pred,2018,21722.2297428014,16225.925000243442,29080.330704842185
M22_2024,tot_biomass_pred,2019,21667.870272633736,15950.236194109399,29435.08775908128
M22_2024,tot_biomass_pred,2020,21606.21468705081,15787.674340243046,29569.175487296216
M22_2024,tot_biomass_pred,2021,21550.75575451813,15683.244839921213,29613.45552730843
M22_2024,tot_biomass_pred,2022,21502.910819813602,15635.08984104107,29572.91441403508
M22_2024,tot_biomass_pred,2023,21257.984701651832,15197.560810560888,29735.16074116536
M22_2024,tot_biomass_pred,2024,21018.46132757185,14780.967742992592,29888.145638371472
M22_2022,tot_biomass_pred,1991,31782.713967947297,22066.85906686001,45776.37914429702
M22_2022,tot_biomass_pred,1992,31867.063034418734,22479.259520764404,45175.40737948136
M22_2022,tot_biomass_pred,1993,31951.6864470762,23061.77834760027,44268.49705276547
M22_2022,tot_biomass_pred,1994,32036.58510584822,23864.775690428833,43006.59677500674
M22_2022,tot_biomass_pred,1995,31967.94793998898,23375.579241239047,43718.68970377976
M22_2022,tot_biomass_pred,1996,31899.92320443485,23122.52103217772,44009.26261598912
M22_2022,tot_biomass_pred,1997,31832.501219157813,23069.909772729927,43923.36787833809
M22_2022,tot_biomass_pred,1998,30412.956936894698,22326.401497088184,41428.43842372195
M22_2022,tot_biomass_pred,1999,29127.96031960725,21769.929133567824,38972.936805401805
M22_2022,tot_biomass_pred,2000,27875.20059111616,21384.07950035691,36336.696558857904
M22_2022,tot_biomass_pred,2001,26533.177554158072,20895.43095918856,33692.03116678943
M22_2022,tot_biomass_pred,2002,25263.90397568646,20250.684785107864,31518.18572387632
M22_2022,tot_biomass_pred,2003,24680.997412585642,19647.86614021583,31003.44988778348
M22_2022,tot_biomass_pred,2004,23970.383511315875,19108.24803705215,30069.699983243725
M22_2022,tot_biomass_pred,2005,23112.3993883225,18095.18883263905,29520.72014422983
M22_2022,tot_biomass_pred,2006,22323.942011603893,17196.118438715177,28980.864996571196
M22_2022,tot_biomass_pred,2007,21985.51181800903,16903.239664804387,28595.86324781655
M22_2022,tot_biomass_pred,2008,21805.73082317771,16856.98532333177,28207.29137580469
M22_2022,tot_biomass_pred,2009,21599.145784377342,16745.122351899998,27860.23827182434
M22_2022,tot_biomass_pred,2010,21676.150533377102,17258.1845273654,27225.082754249095
M22_2022,tot_biomass_pred,2011,21714.47215630488,17209.996246988056,27397.931659018286
M22_2022,tot_biomass_pred,2012,21756.21457594652,17291.684308848802,27373.439407079943
M22_2022,tot_biomass_pred,2013,21709.766211438156,17045.946432591096,27649.62044314362
M22_2022,tot_biomass_pred,2014,21863.838360785187,17081.099131794992,27985.75338613515
M22_2022,tot_biomass_pred,2015,22120.49063545399,16991.4878784668,28797.719743737962
M22_2022,tot_biomass_pred,2016,22357.6708221754,16902.01521582512,29574.310412685954
M22_2022,tot_biomass_pred,2017,22727.044724320185,16768.764546748454,30802.421994851462
M22_2022,tot_biomass_pred,2018,23083.723717480218,16694.811795657693,31917.59854421089
M22_2022,tot_biomass_pred,2019,23243.30543518132,16429.783542012956,32882.432453942034
M22_2022,tot_biomass_pred,2020,23332.130506637142,16347.943958530117,33300.10889196215
M22_2022,tot_biomass_pred,2021,23427.315181679223,16306.737449027418,33657.198341319476
M22_2022,tot_biomass_pred,2022,23547.04762369935,16247.077527166259,34126.96534903973
